宫/B 寒/M 月/B 经/M 过/M 少/M 吃/B 什/M 么/M 药/B
黄/B 豆/M 用/B 热/B 水/M 泡/B 快/B 还/B 是/M 凉/B 水/M
黄/B 豆/M 黑/B 豆/M 能/B 一/B 起/M 打/B 豆/B 浆/M 吗/B
黄/B 连/M 花/B 高/B 血/M 压/M 病/M 人/M 能/B 喝/B 吗/B
黑/B 得/B 发/B 亮/M 最/B 黑/B 小/B 孩/M 两/B 岁/M 照/B
黑/B 枸/B 杞/M 有/B 什/B 么/M 功/B 效/M 与/B 作/B 用/M
黑/B 米/M 粥/M 里/B 面/M 可/B 以/M 加/B 枸/B 杞/M 吗/B
黑/B 胡/M 椒/M 贴/B 肚/B 脐/M 能/B 治/B 晕/B 车/M 吗/B
黑/B 色/M 素/M 痣/B 旁/B 边/M 长/B 很/B 多/M 小/B 痣/M
黑/B 豆/M 可/B 以/M 加/B 什/B 么/M 煮/B 不/B 涨/B 气/B
黑/B 豆/M 汤/M 煮/B 二/B 十/M 分/B 钟/M 可/B 以/M 吗/B
黑/B 龙/M 江/M 不/B 孕/M 不/M 育/M 治/B 疗/M 方/M 法/M
黑/B 龙/M 江/M 省/M 不/B 孕/M 治/B 疗/M 排/B 行/M 榜/M
黑/B 龙/M 江/M 看/B 忧/B 郁/M 那/B 家/B 医/B 院/M 好/B
黑/B 龙/M 江/M 精/B 神/M 分/M 裂/M 专/B 治/M 医/B 院/M
黑/B 龙/M 江/M 输/B 卵/M 管/M 检/B 查/M 的/B 时/B 间/M
鼓/B 楼/M 医/M 院/M 胎/B 儿/M 超/B 声/M 心/M 动/M 图/M
鼓/B 膜/M 内/B 陷/B 原/B 因/M 吹/B 空/B 调/M 受/B 凉/M
鼻/B 咽/M 癌/M 治/B 疗/M 期/B 可/B 吃/B 葡/B 萄/M 吗/B
鼻/B 咽/M 部/B 隔/B 一/B 段/M 时/M 间/M 就/B 上/B 火/M
鼻/B 塞/M 流/B 涕/M 能/B 吃/B 补/B 肾/M 的/B 药/B 吗/B
鼻/B 头/M 起/B 个/B 大/B 痘/B 痘/M 怎/B 么/M 回/M 事/M
鼻/B 子/M 一/B 闻/B 到/M 臭/B 味/M 就/B 发/B 鼻/B 炎/M
鼻/B 子/M 上/B 长/B 脓/B 包/M 缺/B 乏/M 维/B 生/M 素/M
鼻/B 子/M 下/B 面/M 的/B 胡/B 须/M 可/B 以/M 剃/B 吗/B
鼻/B 子/M 不/B 通/M 老/B 感/B 觉/M 喉/B 咙/M 有/B 痰/M
鼻/B 子/M 为/B 什/M 么/M 老/B 是/M 痒/B 还/B 是/M 哭/B
鼻/B 子/M 流/B 血/M 里/B 面/M 感/B 觉/M 有/M 点/M 疼/B
鼻/B 子/M 皮/B 肤/M 发/B 炎/M 用/B 什/B 么/M 消/B 炎/M
鼻/B 子/M 经/B 常/M 流/B 鼻/M 血/M 用/B 什/B 么/M 药/B
鼻/B 子/M 老/B 长/B 脓/B 包/M 用/B 什/B 么/M 药/B 膏/M
鼻/B 子/M 黑/B 头/M 越/B 挤/B 越/B 多/B 怎/B 么/M 办/M
鼻/B 沟/B 两/B 侧/M 发/B 红/M 有/B 白/B 脓/B 还/B 疼/B
鼻/B 泪/M 管/M 探/B 通/M 后/B 还/B 会/M 阻/B 塞/M 吗/B
鼻/B 炎/M 可/B 不/M 可/M 以/M 干/B 红/M 葡/M 萄/M 酒/M
鼻/B 炎/M 喷/B 雾/M 流/B 到/B 口/B 里/B 怎/B 么/M 办/M
鼻/B 炎/M 是/B 否/M 会/B 引/M 起/M 嗓/B 子/M 肿/B 痛/M
鼻/B 炎/M 流/B 鼻/M 涕/M 打/B 喷/M 嚏/M 怎/B 么/M 办/M
鼻/B 炎/M 犯/B 了/B 眼/B 睛/M 很/B 痒/B 怎/B 么/M 办/M
鼻/B 癌/M 治/B 疗/M 后/B 面/B 包/M 可/B 以/M 吃/B 吗/B
鼻/B 翼/M 两/B 侧/M 都/B 是/M 闭/B 口/M 怎/B 么/M 办/M
齐/B 齐/M 哈/M 尔/M 爱/B 多/B 多/M 宠/B 物/M 医/M 院/M
龙/B 岗/M 区/M 人/B 民/M 医/M 院/M 预/B 约/M 挂/M 号/M
龙/B 岩/M 骨/B 科/M 哪/B 个/M 医/B 院/M 比/B 较/M 好/M
龙/B 牡/M 壮/M 骨/M 颗/M 粒/M 效/B 果/M 怎/B 么/M 样/M
龟/B 头/M 勃/B 起/M 时/B 好/B 多/M 小/B 红/M 疙/B 瘩/M
龟/B 头/M 包/B 皮/M 痒/B 痒/M 抹/B 什/B 么/M 药/B 膏/M
龟/B 头/M 尿/B 口/B 上/B 长/B 个/B 水/B 泡/M 图/B 片/M
龟/B 头/M 有/B 小/B 肉/B 刺/M 是/B 怎/B 么/M 回/M 事/M
龟/B 头/M 有/B 白/B 色/M 渣/B 子/M 有/B 问/M 题/M 吗/B
龟/B 头/M 炎/M 可/B 以/M 摸/B 天/B 下/M 无/M 痒/M 吗/B
龟/B 头/M 痒/B 还/B 有/M 红/B 的/B 和/B 白/B 的/B 点/B
龟/B 头/M 起/B 小/B 红/M 点/M 是/B 怎/B 末/B 回/B 事/M
龟/B 头/M 里/B 面/M 长/B 小/B 红/M 点/M 为/B 什/M 么/M
1/B ./M 0/M 的/B 卵/B 泡/M 排/B 卵/M 后/B 能/B 受/B 孕/M 吗/B ?/B
1/B 0/M 0/M 天/B 的/B 宝/B 宝/M 老/B 吐/B 奶/M 怎/B 么/M 办/M ?/B
1/B 0/M 个/B 月/B 婴/B 儿/M 照/B c/B t/M 有/B 什/B 么/M 影/B 响/M
1/B 0/M 个/B 月/B 的/B 宝/B 宝/M 吃/B 迪/B 巧/M d/B 3/M 多/B 少/M
1/B 岁/B 宝/B 宝/M 吃/B 东/B 西/M 就/B 吐/B 有/B 黄/B 色/M
2/B ./M 7/M */B 2/B ./M 0/M 附/B 件/M 囊/M 肿/M 影/B 响/M 受/B 孕/M 吗/B
2/B 0/M 1/M 5/M 年/B 1/B 2/M 月/B 7/B 号/B 最/B 后/M 一/M 次/M 例/B 假/M
2/B 0/M 1/M 6/M 全/B 国/M 消/B 化/M 系/B 病/B 学/B 术/M 会/M 议/M
2/B 0/M 1/M 6/M 大/B 连/M 重/B 症/M 医/B 学/M 会/B 议/M 日/M 程/M
2/B 个/B 月/B 宝/B 宝/M 拉/B 肚/M 子/M 怎/B 么/M 办/M 啊/B
2/B 个/B 月/B 小/B 狗/M 怎/B 么/M 一/B 直/M 吐/B 舌/B 头/M
2/B 号/B 晚/B 上/M 来/B 月/B 经/M 算/B 不/M 算/M 一/B 天/M
2/B 周/B 岁/M 的/B 宝/B 宝/M 脸/B 上/M 出/B 现/M 白/B 斑/M
2/B 岁/M 宝/B 宝/M 上/B 呼/M 吸/M 道/M 感/M 染/M 咳/B 嗽/M
2/B 岁/M 宝/B 宝/M 小/B 鸡/M 早/B 上/M 会/B 硬/B 起/B 吗/B
2/B 岁/M 宝/B 宝/M 抓/B 人/M 咬/B 人/M 怎/B 么/M 回/M 事/M
2/B 岁/M 宝/B 宝/M 脸/B 上/M 有/B 白/B 点/M 怎/B 么/M 办/M
2/B 岁/M 小/B 孩/M 可/B 以/M 吃/B 螺/B 旋/M 藻/M 片/B 吗/B
2/B 岁/M 小/B 孩/M 后/B 脚/B 跟/M 走/B 路/M 提/B 着/B 走/B
3/B 7/M ./M 2/M 度/B 是/B 要/B 来/B 月/B 经/M 还/B 是/M 怀/B 孕/M
3/B 个/B 月/B 宝/B 宝/M 有/B 点/M 咳/B 嗽/M 怎/B 么/M 办/M
3/B 个/B 月/B 宝/B 宝/M 肺/B 炎/M 一/B 定/M 入/B 院/M 吗/B
3/B 个/B 月/B 男/B 宝/B 宝/M 小/B 鸡/M 儿/B 子/M 儿/B 能/B
3/B 岁/B 多/B 小/B 孩/M 晚/B 上/M 睡/B 觉/M 不/B 安/B 稳/M
3/B 岁/B 宝/B 宝/M 发/B 烧/M 吃/B 点/B 什/B 么/M 食/B 物/M
3/B 岁/B 宝/B 宝/M 后/B 背/M 长/B 软/B 疣/M 怎/B 么/M 办/M
3/B 岁/B 宝/B 宝/M 感/B 冒/M 交/B 叉/M 感/M 染/M 发/B 烧/M
3/B 岁/B 宝/B 宝/M 有/B 虫/B 子/M 有/B 什/B 么/M 症/B 状/M
3/B 岁/B 宝/B 宝/M 脸/B 上/M 长/B 了/B 一/B 块/B 白/B 色/M
3/B 岁/B 宝/B 宝/M 脾/B 胃/M 不/B 好/M 喝/B 什/B 么/M 汤/B
3/B 岁/B 宝/B 宝/M 走/B 路/M 内/B 八/B 字/M 脚/M 拖/B 地/M
3/B 岁/B 小/B 孩/M 口/B 气/M 重/B 是/B 什/M 么/M 原/B 因/M
3/B 岁/B 小/B 孩/M 补/B 牙/M 全/B 麻/M 有/B 危/B 险/M 吗/B
4/B 1/M 周/M 加/B 5/B 这/B 两/M 天/M 内/B 裤/M 湿/B 湿/B 的/B ,/B
4/B 个/B 多/B 月/B 的/B 宝/B 宝/M 脖/B 子/M 有/B 点/M 歪/B
4/B 个/B 月/B 宝/B 宝/M 掉/B 头/M 发/M 怎/B 么/M 回/M 事/M
4/B 个/B 月/B 宝/B 宝/M 晚/B 上/M 尿/B 少/B 正/B 常/M 不/B
4/B 个/B 月/B 宝/B 宝/M 检/B 查/M 缺/B 硒/M 怎/B 么/M 办/M
4/B 号/B 来/B 月/B 经/M 1/B 6/M 号/B 同/B 房/M ,/B 预/B 产/B 期/M
4/B 周/B 岁/M 的/B 男/B 孩/M 子/M 说/B 话/M 很/B 吃/B 力/M
4/B 岁/B 儿/B 童/M 可/B 以/M 去/B 香/B 格/M 里/M 拉/M 吗/B
4/B 岁/B 儿/B 童/M 晚/B 上/M 不/B 睡/M 觉/M 怎/B 么/M 办/M
4/B 岁/B 孩/B 子/M 午/B 休/M 多/B 长/M 时/M 间/M 最/B 好/M
4/B 岁/B 孩/B 子/M 眼/B 屎/M 多/B 又/B 黄/B 怎/B 么/M 办/M
4/B 岁/B 孩/B 子/M 门/B 牙/M 撞/B 松/B 了/B 还/B 会/M 紧/B
4/B 岁/B 宝/B 宝/M 晚/B 上/M 睡/B 觉/M 迟/B 怎/B 么/M 办/M
4/B 岁/B 宝/B 宝/M 身/B 上/M 起/B 红/B 疙/M 瘩/M 很/B 痒/B
4/B 岁/B 小/B 孩/M 黑/B 痣/M 四/B 周/M 颜/B 色/M 变/B 浅/B
4/B 岁/B 的/B 孩/B 子/M 早/B 上/M 起/B 床/M 有/B 眼/B 屎/M
4/B 岁/B 的/B 小/B 男/M 孩/M 老/B 说/B 他/B 肚/B 子/M 疼/M
5/B %/M 葡/B 萄/M 糖/M 和/B 5/B %/M 葡/B 萄/M 糖/M 盐/B 溶/B 液/M
5/B 个/B 月/B 的/B 宝/B 宝/M 怎/B 样/M 清/B 理/M 口/B 腔/M
5/B 岁/B 孩/B 子/M 一/B 说/B 话/M 嗓/B 子/M 鼓/B 个/B 包/B
5/B 岁/B 宝/B 宝/M 可/B 以/M 用/B 药/M 酒/B 止/B 痒/M 吗/B
5/B 岁/B 小/B 孩/M 拉/B 大/B 便/M 有/B 根/M 小/B 白/M 虫/B
5/B 岁/B 小/B 男/M 孩/M 尿/B 频/M 是/B 怎/B 么/M 回/M 事/M
6/B 个/B 月/B 宝/B 宝/M 妈/B 妈/M 感/B 冒/M 吃/B 啥/B 药/B
6/B 个/B 月/B 宝/B 宝/M 打/B 完/M 预/B 防/M 针/M 发/B 烧/M
6/B 个/B 月/B 宝/B 宝/M 用/B 舌/B 头/M 舔/B 下/B 嘴/B 唇/M
6/B 个/B 月/B 宝/B 宝/M 高/B 烧/M 吃/B 啥/B 药/B 好/B 啊/B
6/B 个/B 月/B 小/B 孩/M 吃/B 奶/M 怎/B 么/M 没/B 有/M 了/M
6/B 岁/M 孩/B 子/M 嗓/B 子/M 化/B 脓/M 了/B 怎/B 么/M 办/M
6/B 岁/M 白/B 破/B 疫/B 苗/M 打/B 完/M 针/B 眼/M 好/B 痒/B
6/B 岁/M 的/B 孩/B 子/M 说/B 膝/B 盖/M 以/B 下/M 麻/B 木/M
7/B 个/B 多/B 月/B 小/B 孩/M 可/B 以/M 吃/B 龙/B 眼/M 吗/B
7/B 个/B 月/B 婴/B 儿/M 吐/B 了/B 是/B 怎/B 么/M 回/M 事/M
7/B 个/B 月/B 宝/B 宝/M 可/B 以/M 吃/B 培/B 菲/M 康/B 吗/B
7/B 个/B 月/B 的/B 孕/B 妇/M 发/B 烧/M 能/B 输/B 液/M 吗/B
7/B 岁/B 儿/B 治/B 疝/B 气/M 用/B 什/B 么/M 方/B 法/M 好/B
7/B 岁/B 小/B 孩/M 子/M 送/B 什/B 么/M 生/B 日/M 礼/M 物/M
7/B 岁/B 小/B 孩/M 的/B 手/B 脚/M 皮/B 肤/M 很/B 粗/B 糙/M
7/B 岁/B 小/B 孩/M 视/B 力/M o/B ,/B 3/B 能/B 娇/B 正/B 吗/B 、/B
8/B 个/B 月/B 宝/B 宝/M 吐/B 奶/M 完/B 了/B 咳/B 几/B 声/M
8/B 個/B 月/B 孩/B 子/M 嘴/B 唇/M 烫/B 傷/B 怎/B 麼/B 辦/B
8/B 天/B 的/B 宝/B 宝/M 肚/B 脐/M 有/B 血/B 怎/B 么/M 办/M
8/B 岁/B 儿/B 童/M 一/B 分/M 钟/M 呼/B 吸/M 多/B 少/M 下/B
8/B 岁/B 女/B 孩/M 总/B 是/M 感/B 觉/M 气/B 不/B 够/M 用/M
8/B 岁/B 孩/B 子/M 写/B 作/B 业/M 喊/B 脖/B 子/M 难/B 受/M
8/B 岁/B 孩/B 子/M 说/B 淫/B 秽/M 的/B 话/B 怎/B 么/M 办/M
8/B 岁/B 男/B 孩/M 尿/B 不/B 出/B 来/M 是/B 啥/B 原/B 因/M
9/B 个/B 月/B 大/B 的/B 宝/B 宝/M 牙/B 齿/M 像/B 锯/B 齿/M
9/B 岁/B 女/B 孩/M 的/B 身/B 高/M 是/B 多/B 少/M 厘/B 米/M
9/B 岁/B 孩/B 吃/B 健/B 儿/B 消/B 食/M 口/B 服/M 液/M 吗/B
9/B 岁/B 孩/B 子/M 睡/B 觉/M 咬/B 牙/M 怎/B 么/M 回/M 事/M
9/B 岁/B 小/B 孩/M 小/B 腿/M 常/B 痛/B 怎/B 么/M 力/B 、/B
a/B 群/B 流/B 脑/M 孩/B 子/M 呕/B 吐/M 是/B 怎/B 么/M 了/M
b/B 型/M 流/B 感/M 嗜/M 血/M 杆/M 菌/M 疫/B 苗/M 发/B 抖/M
b/B 族/B 维/B 生/M 素/M 是/B 含/B 的/B 还/B 是/M 咽/B 的/B
b/B 超/M 做/B 多/M 了/B 对/B 小/B 孩/M 有/B 伤/B 害/M 吗/B
b/B 超/M 医/B 生/M 说/B 有/B 一/B 点/B 是/B 男/B 孩/M 吗/B
b/B 超/M 多/B 久/M 可/B 以/M 查/B 出/B 来/M 多/B 少/M 天/B
b/B 超/M 排/B 卵/M 监/B 测/M 什/B 么/M 时/M 候/M 排/B 卵/M
b/B 超/M 是/B 怎/B 么/M 看/M 怀/B 孕/M 多/B 少/M 天/B 的/B
d/B 女/B 郎/M 丰/B 胸/M 月/B 经/M 期/M 可/B 使/M 用/M 吗/B
h/B t/M t/M p/M :/B //B //B w/B w/M w/M ./M c/M n/M b/M a/M c/M k/M ./M c/M o/M m/M //B d/B e/M f/M a/M u/M l/M t/M ./M h/M t/M m/M l/M
i/B g/M a/M 肾/B 病/M 容/B 易/M 转/B 成/B 尿/B 毒/M 症/M 吗/B
j/B i/M g/M u/M a/M n/M h/M 激/B 光/M 不/B 敢/M 脱/B 发/B 际/M 线/M 吧/B
j/B i/M u/M g/M e/M y/M u/M e/M b/M a/M o/M b/M a/M o/M s/M h/M e/M t/M o/M u/M j/M i/M a/M n/M y/M o/M u/M b/M a/M i/M d/M i/M a/M n/M
t/B c/M t/M 检/B 查/M 是/B 什/M 么/M w/B e/M n/M d/M a/M ./M t/M i/M a/M n/M y/M a/M ./M c/M n/M
v/B 塑/B 水/B 光/B 棒/B 停/B 用/M 会/B 不/M 会/M 反/B 弹/M
w/B o/M o/M d/M 灯/B 检/B 查/M 白/B 癜/M 风/M 的/B 准/B 确/M 率/M
x/B 射/M 线/M 肺/B 气/M 肿/M 为/B 什/M 么/M 为/B 白/B 色/M
。/B 运/B 动/M 后/B 心/B 跳/M 1/B 分/B 钟/M 多/B 少/M 下/B
一/B 个/B 手/B 拨/B 苗/B ,/B 一/B 个/B 红/B 色/M 剪/B 头/B
一/B 个/M 月/M 婴/B 儿/M 发/B 烧/M 3/B 7/M ./M 5/M 怎/B 么/M 办/M
一/B 天/M 三/B 餐/M 按/B 时/M 吃/B ,/B 还/B 是/M 很/B 饿/B
一/B 天/M 到/M 晚/M 拉/B 一/B 次/M 尿/B 正/B 常/M 吗/B ?/B
一/B 天/M 吃/B 一/B 个/B 木/B 瓜/M 能/B 丰/B 胸/M 吗/B ?/B
一/B 般/M 子/B 宫/M 肌/M 瘤/M 肚/B 子/M 会/B 腾/B 么/B ?/B
七/B 个/M 月/M 宝/B 宝/M 发/B 烧/M 3/B 8/M ./M 5/M 度/B 反/B 复/M
七/B 八/M 个/B 月/B 宝/B 宝/M 缺/B 锌/M 吃/B 什/M 么/M ?/B
三/B 个/M 月/M 宝/B 宝/M 5/B 天/B 不/B 拉/B 怎/B 么/M 办/M
三/B 岁/B 宝/B 宝/M 化/B 验/M 乙/B 肝/M 抗/B 体/M 弱/B
三/B 岁/B 男/B 孩/M 特/B 犟/B 不/B 听/M 讲/B 道/M 理/M
三/B 支/B 脊/B 神/M 经/M 定/B 位/M 诊/B 断/M 宫/B 式/B
三/B 点/M 式/M 双/B 眼/M 皮/M 可/B 以/M 抽/B 烟/M 吗/B
三/B 碘/B 甲/B 亢/M 豆/B 制/M 品/M 可/B 以/M 吃/B 吗/B ?/B
三/B 角/M 肌/M 注/B 射/M 有/B 空/B 气/M 怎/B 么/M 办/M ?/B
上/B 晚/B 班/M 中/B 午/M 起/B 来/M 吃/B 饭/M 好/B 吗/B ?/B
上/B 海/M 有/B 公/B 立/M 白/B 癜/M 风/M 医/B 院/M 吗/B ?/B
上/B 火/M 就/B 头/B 疼/M ,/B 脸/B 长/B 逗/B 怎/B 么/M 办/M
下/B 巴/M 长/B 痘/B 是/B 为/B 什/M 么/M ?/B 怎/B 么/M 办/M
下/B 面/M 最/B 湿/B 的/B 时/B 候/M 是/B 排/B 卵/M 期/M ?/B
不/B 吃/B 土/B 豆/M 对/B 心/B 脏/M 有/B 影/B 响/M 吗/B ?/B
不/B 吃/B 饭/M 时/M 胃/B 还/B 生/B 产/M 盐/B 酸/M 吗/B ?/B
不/B 太/M 只/B 需/B 的/B 什/B 么/M 止/B 痛/M 药/M 好/B ,/B
不/B 想/B 吃/B 饭/M 只/B 想/B 喝/B 酒/M ,/B 我/B 很/B 廋/B
不/B 规/M 则/M 阴/B 道/M 出/M 血/M _/B 百/B 度/M 百/M 科/M
与/B 不/B 同/M 的/B 人/B 做/B 爱/M 会/B 得/B 病/M 吗/B ?/B
与/B 英/B 泰/M 清/B 同/B 类/M 药/B 物/M 有/B 哪/B 些/M ?/B
专/B 吃/B 肉/B 苁/M 蓉/M 泡/B 茶/M 能/B 壮/B 阳/M 吗/B ?/B
专/B 治/M 脚/B 臭/M ,/B 脚/B 痒/B 的/B 药/B 有/B 那/B 些/M
两/B 个/M 月/M 的/B 小/B 孩/M 很/B 黑/B 怎/B 么/M 办/M ?/B
两/B 岁/M 宝/B 宝/M 眼/B 角/M 发/B 红/M ,/B 有/B 眼/B 屎/M
严/B 重/M 心/B 胶/B 痛/B 能/B 打/B 杜/B 冷/B 丁/M 吗/B ?/B
中/B 医/M 治/M 疗/M 宫/B 颈/M 糜/M 烂/M 3/B 度/B 方/B 法/M
中/B 医/M 说/B 食/B 欲/M 不/M 振/M ,/B 口/B 干/M 口/B 苦/M
中/B 午/M 喝/B 完/M 水/B 睡/B 觉/M ,/B 一/B 直/M 想/B 尿/B
中/B 老/M 年/M 人/M 吃/B 韭/B 菜/M 易/B 消/B 化/M 吗/B ?/B
中/B 老/M 年/M 人/M 脚/B 踝/M 肿/B 怎/B 能/M 回/B 事/M ?/B
中/B 耳/M 炎/M 发/B 炎/M 需/B 要/M 用/B 什/B 么/M 药/B ?/B
为/B 什/M 么/M 1/B 型/B 呼/B 衰/M 见/B 于/M 肺/B 换/M 气/M
为/B 什/M 么/M 不/B 想/B 吃/B 东/B 西/M 还/B 想/B 吐/M ?/B
为/B 什/M 么/M 人/B 流/M 前/B 不/B 能/M 性/B 生/M 活/M ?/B
为/B 什/M 么/M 做/B 完/M 爱/B 后/B ,/B 尿/B 后/B 留/B 血/B
为/B 什/M 么/M 小/B 孩/M 儿/M 的/B 舌/B 头/M 发/B 黑/B ?/B
为/B 什/M 么/M 来/B 月/B 经/M 前/B 乳/B 房/M 按/B 痛/B ?/B
为/B 什/M 么/M 经/B 常/M 肚/B 子/M 疼/M ,/B 拉/B 肚/M 子/M
为/B 什/M 么/M 越/B 喝/B 越/B 渴/B 还/B 怎/B 么/M 办/M
乌/B 迪/B 思/M `/B 黑/B 乐/B 雅/M 那/B 个/M 产/B 品/M 好/B
乐/B 健/M 阳/B 光/M 牌/B 辅/B 酶/M q/B 1/M 0/M 多/B 少/M 钱/B h/B
乙/B 肝/M e/B 抗/B 原/M 阳/B 性/M 是/B 什/M 么/M 意/B 思/M
买/B 了/B 避/B 孕/M 药/M 又/B 买/B 了/B 维/B 生/M 素/M c/B
乳/B 头/M 太/B 大/B 吃/B 偏/B 了/B ,/B 怎/B 么/M 纠/B 正/M
乳/B 房/M 作/B 徵/B 创/B 快/B l/B 年/B 了/B 还/B 有/M 胀/B
乳/B 房/M 发/B 热/M 发/B 张/B ,/B 腋/B 下/M 也/B 胀/B 痛/M
乳/B 腺/M 增/M 生/M 胸/B 口/M 疼/B 怎/B 么/M 回/M 事/M ?/B
乳/B 腺/M 癌/M 术/B 肿/B 瘤/M 3/B c/M m/M 属/B 于/M 期/B t/B 几/B
二/B 甲/M 双/M 胍/M 肠/B 溶/M 片/M 贵/B 州/M 天/B 安/M
产/B 后/M 一/B 个/M 月/M 可/B 以/M 烫/B 头/B 发/M 吗/B ?/B
产/B 后/M 几/B 天/M 膀/B 胱/M 头/B 痛/M 怎/B 么/M 办/M ?/B
产/B 妇/M 命/B 丧/M 武/B 安/M 中/B 医/M 院/M 了/B 吗/B ?/B
产/B 妇/M 手/B 心/M 发/B 热/M 是/B 怎/B 么/M 回/M 事/M ?/B
产/B 检/B 单/B 纯/M 疱/B 疹/M 病/B 毒/M i/B 型/B i/B g/M g/M 2/M 8/M 0/M
京/B 都/M 1/B 6/M 4/M 0/M 血/B 糖/M 仪/M 价/B 格/M 是/B 多/B 少/M
亮/B 丙/M 瑞/M 林/M 可/B 以/M 提/B 高/M 着/B 床/M 吗/B ?/B
人/B 乳/B 头/M 会/B 不/M 会/M 传/B 染/M 给/B 宝/B 宝/M
人/B 流/M 两/B 天/M 后/M 没/B 血/B 后/B 来/M 又/B 有/B
人/B 流/M 后/B 八/B 天/B ,/B 拳/B 头/M 大/B 的/B 血/B 块/M
人/B 流/M 后/B 益/B 母/M 草/M 胶/M 囊/M 怎/B 么/M 吃/B ?/B
人/B 流/M 手/B 术/M 后/B 多/B 久/M 可/B 以/M 出/B 院/M ?/B
人/B 流/M 术/B 后/B 白/B 带/M 呈/B 脓/B 性/B 且/B 痒/B
什/B 么/M 原/B 因/M 导/B 致/M ?/B 习/B 惯/M 性/M 流/M 产/M
什/B 么/M 妇/B 科/M 病/M 需/B 要/M 病/B 理/M 检/B 查/M ?/B
什/B 么/M 时/B 间/M 喝/B 牛/M 奶/M 是/B 最/B 好/M 的/B ?/B
什/B 么/M 是/B 系/B 统/M 彩/B 超/M ,/B 必/B 须/M 做/B 吗/B
什/B 么/M 食/B 物/M 病/B 毒/M 会/B 通/B 过/M 胎/B 盘/M
仁/B 和/M v/B 滋/B 润/M 是/B 用/B 什/B 么/M 制/B 做/M 的/B
仁/B 济/M 医/M 院/M 东/B 院/B 心/B 理/M 咨/M 询/M 科/B
以/B 前/M 排/B 卵/M 后/B 胸/B 胀/B 这/B 次/M 不/B 胀/B
低/B 烧/M 十/B 余/M 天/B 一/B 睡/B 觉/M 就/B 发/B 烧/M
低/B 血/M 压/M 能/B 喝/B 尼/B 莫/M 地/M 平/M 片/M 吗/B ?/B
住/B 妇/B 幼/M 保/M 健/M 院/M 农/B 保/B 报/B 销/M 吗/B ?/B
作/B 爱/B 后/B 会/B i/B 引/B 起/M 白/B 带/M 过/M 多/M 吗/B
你/B 好/M ,/B 请/B 问/M 2/B 0/M 周/B 零/M 5/B 天/B 好/B 做/B 不/B
例/B 假/M 只/B 来/B 一/M 天/B 有/B 血/B 块/M 怀/B 孕/M
促/B 排/B 卵/M 可/B 以/M 用/B 保/B 妇/M 康/M 栓/M 吗/B ?/B
俩/B 月/B 没/B 来/B 月/B 经/M ,/B 嘴/B 里/M 没/B 味/B 道/M
做/B 了/B 隆/B 鼻/M 后/M ,/B 鼻/B 子/M 上/B 长/B 痘/B 痘/M
做/B 好/B 人/B 流/M 后/B 有/B 白/B 色/M 的/B 东/B 西/M
做/B 妇/B 科/M b/B 超/M 会/B 看/B 出/M 是/B 处/B 女/M 吗/B
做/B 完/M 三/B 维/M 什/B 么/M 时/M 候/M 在/B 做/B b/B 超/M
做/B 完/M 双/B 眼/M 皮/M 能/B 外/B 出/M 游/B 玩/M 吗/B ?/B
做/B 完/M 大/B v/M 线/B 为/B 什/M 么/M 有/B 个/B 大/B 坑/M
做/B 完/M 艾/B 灸/M 可/B 以/M 马/B 上/M 做/B 爱/M 吗/B ?/B
做/B 爱/M 时/M 很/B 不/B 舒/M 服/M ,/B 怎/B 么/M 回/M 事/M
健/B 身/M 房/M 为/B 什/M 么/M 要/B 吃/B 鸡/B 脯/M 肉/M ?/B
儿/B 童/M d/B 二/B 聚/M 体/M 高/B 是/B 什/M 么/M 意/B 思/M
儿/B 童/M 扁/B 桃/M 体/M 发/B 炎/M 发/B 烧/M 牛/B 奶/M
儿/B 童/M 烧/B 3/B 6/M ./M 9/M 需/B 吃/B 什/M 么/M 感/B 冒/M 药/M
儿/B 童/M 过/B 敏/M 可/B 以/M 吃/B 维/B 生/M 素/M c/B 吗/B
克/B 拉/M 霉/M 素/M 分/B 散/M 片/M 泌/B 尿/M 感/B 染/M
入/B 睡/M 前/B 为/B 什/M 么/M 会/B 抽/B 猝/B 一/B 下/B ?/B
全/B 身/M 乏/B 力/M 头/B 喉/B 咙/M 痛/M 脚/B 冰/B 冷/M
八/B 岁/B 孩/B 子/M 镁/B 和/B 铁/B 低/B ,/B 怎/B 么/M 补/B
八/B 岁/B 男/B 孩/M 腿/B 困/B 是/B 什/M 么/M 原/B 因/M ?/B
六/B 个/B 半/B 月/M 宝/B 宝/M 3/B 7/M ./M 5/M 度/B 怎/B 么/M 办/M
六/B 号/B 做/B 得/B 人/B 流/M 什/B 么/M 来/B 月/B 经/M
兰/B 州/M 可/B 以/M 做/B 系/B 统/M b/B 超/M 的/B 医/B 院/M
养/B 生/M 堂/M 维/B 生/M 素/M c/B 能/B 吃/B 两/B 片/B 吗/B
冠/B 心/M 病/M 放/B 射/M 右/B 辈/B 疼/B ,/B 严/B 重/M 吗/B
冲/B 凉/M 后/B 身/B 上/M 痒/B 是/B 怎/B 么/M 回/M 事/M ?/B
冷/B 冻/M 食/B 物/M 细/B 菌/M 性/M 食/M 物/M 中/M 毒/M
减/B 肥/M 。/B 低/B 血/M 糖/M ,/B 可/B 以/M 吃/B 糖/M 嘛/B
